Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-03262200007,02/14/2017,4359,Kum & Go #75 / Waukee,350 SE University Ave,Waukee,50263,POINT (-93.865479 41.600403),25,DALLAS,1011400,Tennessee Whiskies,085,Brown Forman Corp.,86691,Jack Daniel's Tennessee Fire Mini,12,500,9.06,13.59,1,13.59,0.50,0.13
INV-03274500006,02/15/2017,4046,J and K Market,113 W Vanburen,Centerville,52544,POINT (-92.874795 40.734946),4,APPANOOSE,1062200,White Rum,035,BACARDI USA INC,43127,Bacardi Superior Rum,12,1000,9.50,14.25,1,14.25,1.00,0.26
INV-03268800004,02/14/2017,4637,Kwik Shop #560 / Cedar Rapids,3301 J St,Cedar Rapids,52404,POINT (-91.666812 41.944676),57,LINN,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,30.00,45.00,3,133.74,9.00,2.38
INV-03304200045,02/16/2017,2106,Hillstreet News and Tobacco,2217 College,Cedar Falls,50613,POINT (-92.455796 42.517182),7,BLACK HAWK,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,69657,Dr. Mcgillicuddy's Mentholmint,12,1000,11.00,16.50,12,198.00,12.00,3.17
INV-03291200198,02/15/2017,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 Devils Glen Road,Bettendorf,52722,POINT (-90.483701 41.552338),82,SCOTT,1031200,American Flavored Vodka,434,LUXCO INC,35179,Pearl Blueberry Vodka,12,750,7.00,10.50,3,31.50,2.25,0.59
INV-03387800057,02/21/2017,2666,Hy-Vee #2 / Ankeny,2510 SW State St,Ankeny,50023,POINT (-93.621824 41.705188),77,Polk,1042100,Imported Dry Gins,035,BACARDI USA INC,28233,Bombay Sapphire Gin,12,1000,16.50,24.75,4,99.00,4.00,1.06
INV-03306600007,02/16/2017,4513,Casey's General Store #1144 / Polk City,1100 S 3rd St,Polk City,50226,POINT (-93.717068 41.764009),77,POLK,1031100,American Vodkas,300,McCormick Distilling Co.,36904,Mccormick Vodka Pet,24,375,1.80,2.70,24,64.80,9.00,2.38
INV-03376400055,02/21/2017,2527,Hy-Vee Food Store #5 / Des Moines,1107 SE Army Post Rd,Des Moines,50315,POINT (-93.602372 41.526289),77,POLK,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10803,Crown Royal Regal Apple Mini,10,300,7.35,11.03,1,11.03,0.30,0.08
INV-03287600007,02/15/2017,3524,Sam's Club 6568 / Ames,305 Airport Rd,Ames,50010,POINT (-93.613648 42.001123),85,STORY,1022200,100% Agave Tequila,395,PROXIMO,89206,1800 Reposado Tequila,12,750,15.46,23.19,36,834.84,27.00,7.13
INV-03374000006,02/21/2017,4343,Best Food Mart / Des Moines,4028 NE 14th St,Des Moines,50313,POINT (-93.600504 41.633983),77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8.00,24,192.00,9.00,2.38
