,county,land_area,population,under_5,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,over_84,median_age,male_median_age,female_median_age,pop_over_21,male_over_21,female_over_21,white,black,american_indian,asian,hawaiian_pacific_islander,other_race,multiple_races,latinx,head_of_household,has_child,average_HH_size,owned_housing,rented_housing
51,mahaska,1478527687,22381,1515,1508,1524,1553,1508,1282,1330,1248,1330,1589,1637,1576,1183,938,780,638,570,672,38.9,37.0,40.6,15961,7844,8117,21428,254,60,255,4,246,54,256,4883,5063,2.42,16094,5628
52,boone,1480356844,26306,1561,1644,1817,1897,1361,1570,1573,1485,1571,1967,2143,1975,1548,1124,932,792,656,690,40.8,38.9,42.8,19094,9333,9761,25509,206,81,88,3,266,68,325,5875,5634,2.38,20069,5469
53,linn,1856710588,211226,14160,14525,14460,15343,14039,14778,14249,13529,14051,15252,15001,13202,11149,8029,6341,5038,3934,4146,36.5,35.4,37.7,149530,72636,76894,191884,8346,565,3806,180,4933,694,3812,42071,47805,2.39,157974,48086
54,jasper,1891779160,36842,2162,2394,2370,2285,1788,2196,2171,2266,2461,2926,2963,2535,2236,1683,1393,1101,997,915,41.6,39.8,43.6,27288,13753,13535,35639,470,103,163,8,326,88,399,8155,7808,2.38,27237,7957
55,page,1385494422,15932,919,832,980,1113,775,826,901,943,909,1134,1238,1176,1011,798,688,566,540,583,43.7,40.9,46.9,11946,6150,5796,15039,352,86,116,6,219,61,353,3268,3000,2.26,10779,3685
56,ida,1117599646,7089,489,455,455,425,292,384,356,330,381,497,584,523,453,333,291,291,266,284,44.8,42.7,46.6,5224,2559,2665,6957,17,12,19,1,41,19,88,1646,1599,2.28,5401,1566
57,crawford,1849742893,17096,1269,1212,1247,1336,960,902,951,969,950,1211,1255,1077,964,777,588,489,428,511,38.4,36.6,40.4,11842,5936,5906,14168,208,59,104,16,279,28,2951,3474,4001,2.57,12282,4229
58,adams,1096700733,4029,234,209,242,256,181,205,185,191,213,330,363,273,287,227,196,163,128,146,46.7,45.9,47.3,3050,1500,1550,3953,8,19,24,0,22,12,30,963,788,2.28,3099,816
59,cedar,1500731293,18499,1148,1259,1279,1240,747,946,1018,1041,1233,1511,1520,1323,1141,847,645,544,507,550,42.4,41.0,43.6,13430,6563,6867,18090,52,29,85,3,197,58,210,4324,4216,2.42,14752,3423
60,carroll,1474835105,20816,1464,1355,1376,1393,941,1113,1139,1098,1244,1587,1687,1491,1054,889,787,776,667,755,42.3,40.4,44.0,15060,7221,7839,20250,83,25,92,1,186,48,270,4669,4901,2.34,16009,4340
61,audubon,1147264459,6119,335,312,403,423,211,263,279,284,373,487,518,429,383,331,321,231,255,281,47.0,46.1,47.8,4612,2219,2393,6032,10,8,25,1,37,7,24,1483,1254,2.29,4906,1077
62,delaware,1496381153,17764,1140,1206,1260,1265,741,908,950,966,1109,1510,1535,1261,969,754,712,555,479,444,42.1,41.3,43.0,12752,6329,6423,17507,48,18,49,2,115,25,118,4240,4247,2.48,14473,3073
63,hardin,1474498672,17534,1058,1042,1124,1363,888,914,824,861,951,1205,1378,1240,1011,894,787,682,597,715,43.7,40.6,46.4,12701,6111,6590,16799,217,42,79,1,191,49,525,3864,3639,2.28,12815,3849
64,sioux,1989969635,33704,2639,2555,2385,3090,2985,2084,1961,1700,1729,2062,2243,2011,1452,1166,1029,914,828,871,32.7,31.7,33.8,22229,11004,11225,31441,129,96,272,4,314,37,2600,7781,8624,2.7,26029,5265
65,adair,1474404167,7682,449,489,463,454,340,394,400,374,441,603,630,546,455,379,366,320,232,347,45.3,43.8,46.9,5764,2797,2967,7558,11,4,22,1,52,17,63,1807,1606,2.29,5966,1565
